Age,Annual_Income,Spending_Score,Savings,Purchase_Frequency
56,23343,81,48917,2
69,33500,5,19922,29
46,73222,29,13175,3
32,49375,4,42124,17
60,29662,10,22389,25
25,36964,56,48838,24
38,133429,17,1822,12
56,141692,74,18327,18
36,79638,17,48057,15
40,93666,84,7150,12
28,105067,88,5425,16
28,138937,69,17032,27
41,87215,34,3198,8
53,89042,6,21079,28
57,33284,53,37220,14
41,92789,66,42874,25
20,104664,77,14859,17
39,113468,43,32419,29
19,81389,75,9705,21
41,29435,23,43880,8
61,74340,55,24236,15
47,64078,80,23419,27
55,98832,95,20978,14
19,71293,75,38609,18
38,115981,16,16358,20
50,98781,8,35177,7
29,80403,4,30378,3
39,49124,4,38334,29
61,115435,56,12382,12
42,63919,25,15596,21
66,128761,67,34572,24
44,141305,96,14221,28
59,55247,67,2279,26
45,141172,27,46960,3
33,114758,93,8083,20
32,111747,32,44861,14
64,82752,50,18771,15
68,76573,61,30975,25
61,79101,51,46648,14
69,122756,19,49285,7
20,46646,21,20063,17
54,124185,5,3106,12
68,43049,82,25557,20
24,99605,92,49854,4
38,118116,42,21607,9
26,117379,61,38599,6
56,88385,22,29529,16
35,146131,21,36954,25
21,60158,70,28856,28
42,85417,1,3573,22
31,43289,5,13808,22
67,130226,12,36367,21
26,120793,90,37801,21
43,29823,46,42196,2
19,80160,34,35072,24
37,61975,49,24752,8
45,29540,78,18685,11
64,36364,90,42401,13
24,24611,45,12372,17
61,47663,27,9996,8
25,71991,73,17458,21
64,77679,26,32889,18
52,124182,47,27665,18
31,50977,86,39243,14
34,114704,56,32653,15
53,69115,94,27657,6
67,111007,63,40952,11
57,108223,48,23180,13
21,80890,61,32896,25
19,86387,81,13875,1
23,38071,26,2622,28
59,79275,36,49756,6
21,92369,1,41809,9
46,31938,8,17725,8
35,55195,99,41760,11
43,111680,52,16646,22
61,24000,79,18029,19
51,90588,47,30402,24
27,121042,56,5263,9
53,113610,86,31987,17
31,140420,14,47828,12
48,123691,90,48924,25
65,126306,28,9646,14
32,117856,87,28529,15
25,58304,78,12664,16
31,131783,88,36737,22
40,89449,2,36796,22
57,102986,26,25027,28
38,109643,14,30373,20
33,40764,59,37397,1
62,128940,56,21609,10
35,106027,7,36835,8
64,58494,3,39709,18
41,23373,23,20250,28
43,32161,18,22172,1
42,117532,38,12555,2
62,112658,99,22874,1
58,143633,15,14081,1
46,120386,64,25063,9
32,47350,89,7819,13
62,113008,28,26712,1
18,114297,74,25762,13
42,45351,39,12046,20
24,108668,57,32463,26
26,134585,17,29769,22
41,35305,86,24150,7
18,95353,90,3711,2
61,96797,44,5853,6
25,85953,25,30077,7
41,77458,17,24863,26
28,127112,13,22792,14
68,40358,84,41483,26
34,23267,25,9942,18
25,102745,68,49275,15
52,109588,10,49594,2
52,58513,67,2762,10
50,46092,18,32987,23
22,31338,86,16850,12
59,20412,34,13112,17
56,27543,8,25058,8
58,125891,40,46420,11
45,53496,83,39890,29
24,80692,42,1481,3
26,109084,41,48304,27
25,112920,6,33921,6
29,143555,52,41385,9
51,64425,26,2524,6
50,58756,64,35888,9
65,38888,98,16048,7
40,55735,59,36111,9
41,67295,56,38904,18
54,137474,59,35008,12
52,134352,70,1060,8
61,103042,33,10130,8
57,105999,53,19023,18
39,37955,22,46080,28
44,57841,21,14350,20
52,90640,70,25354,15
18,85510,70,46186,27
52,54911,4,29145,7
54,79031,94,35020,11
64,108726,75,21587,20
31,27357,62,42131,16
20,52479,62,10650,4
18,81476,94,20933,6
22,64811,95,21581,26
43,56208,24,24393,22
31,40150,55,24051,26
56,91180,9,27212,3
44,63286,3,5090,9
26,132856,31,7960,28
32,88450,40,36772,10
32,41352,36,22520,14
43,75069,24,37408,11
59,131888,95,29470,18
30,130448,6,21491,22
68,34397,66,2341,12
49,61555,84,45623,23
56,66959,92,25791,12
66,20728,75,1338,13
69,70517,4,6895,25
49,139180,79,13254,13
21,86234,6,12344,19
47,59954,94,2750,26
54,67280,51,3421,19
40,99459,62,40887,23
56,36779,57,6319,14
62,83932,66,16896,4
32,92936,79,12918,13
60,44466,75,26064,8
46,56939,8,47617,29
53,89896,26,28935,23
30,55270,51,38641,21
49,79163,45,30711,23
24,102637,44,5806,19
68,71934,5,42360,12
39,84895,70,13182,18
45,52307,26,23297,6
19,74098,68,20541,18
59,80921,19,29921,19
62,25486,84,17774,22
23,28335,97,45813,5
45,106900,20,38198,24
45,146020,12,9820,9
61,141954,47,25070,27
61,122795,1,5232,3
37,109112,90,12122,28
47,117203,14,16023,10
28,31130,64,9007,19
45,107508,38,18905,3
42,125955,37,42786,29
56,138324,11,30398,29
50,80566,77,35268,22
18,86703,3,7737,15
44,47192,33,37062,1
69,21062,6,26510,7
30,104076,50,20426,12
58,109780,10,38265,17
20,41545,5,18850,21
56,41689,23,1614,26
23,31174,10,22776,29
25,108461,44,25077,24
44,146174,2,10374,20
26,123033,13,36435,5
54,29348,40,31907,4
50,43714,2,14409,28
68,58102,84,17514,12
59,94460,65,30866,20
61,122634,63,3983,28
41,109930,73,32705,24
32,26801,17,21662,18
49,123150,9,24510,17
49,92267,75,13651,19
41,68136,15,41998,9
58,43625,24,29535,4
69,102873,38,7640,26
66,120843,35,45547,21
66,92592,94,16317,2
69,97052,95,8564,4
29,64261,49,28345,2
56,21542,69,49288,15
19,41677,62,29687,2
20,66732,60,14737,4
66,70343,50,10323,6
54,59081,78,16229,7
