Age,Income,Credit_Score,Loan_Amount,Employment_Years,Loan_Approval
59,81158,342,33750,5,0
49,54782,432,31074,2,0
35,105709,694,22310,9,1
28,98533,364,22006,11,1
41,128939,589,14671,9,1
59,78255,675,49345,1,0
39,131952,766,32894,12,1
43,92684,512,31193,15,1
31,76918,447,15222,12,1
31,146093,770,28786,3,1
44,104284,448,36509,3,1
56,99558,387,5386,10,1
44,105549,623,6634,13,1
23,124223,695,45878,2,1
42,101422,703,9133,18,1
22,140363,381,47144,0,1
44,146352,585,43349,4,1
50,45256,681,39735,16,1
58,50005,569,26952,0,0
22,26638,591,29816,18,1
41,57419,752,26529,18,1
53,53377,323,10767,3,0
32,126244,610,46521,18,1
42,63116,760,23383,5,1
45,56634,507,9901,14,1
47,102291,737,47889,3,1
48,43382,837,19633,0,1
36,135303,635,24163,16,1
35,76063,721,15707,10,1
23,42394,620,27576,16,1
57,87789,796,23061,0,1
27,123246,462,49706,8,1
41,130634,840,16548,13,1
29,20864,464,20115,14,1
59,119572,594,14843,0,1
38,60222,341,41945,1,0
24,33666,584,44979,17,0
45,143664,686,45641,17,1
34,40955,437,8841,5,1
29,130674,486,11416,19,1
46,123533,730,15633,7,1
22,101845,715,42653,0,1
40,136925,725,5594,14,1
48,89590,715,19393,9,1
27,147775,325,40380,3,1
28,86471,670,27743,9,1
55,130476,684,36971,10,1
34,108314,355,9861,4,1
37,142579,552,42534,8,1
56,63298,405,41126,4,0
24,83108,429,19846,10,1
22,133864,675,31177,2,1
26,68924,607,38682,3,0
24,36709,390,23228,9,0
49,29726,692,39763,6,0
38,80824,833,29009,0,1
46,60542,409,5094,5,1
54,40245,639,46452,7,0
30,54753,655,20100,16,1
56,99788,467,37917,6,1
34,41316,751,22430,0,1
51,122907,404,40571,8,1
35,104698,449,29974,10,1
28,35960,445,36129,18,0
34,50791,598,25860,1,0
43,127766,466,12276,10,1
41,45216,347,5551,2,0
36,52467,538,13486,16,1
38,84427,306,22527,9,1
44,132470,763,14745,2,1
46,82047,752,46128,2,1
45,93290,670,17997,6,1
49,67014,848,23330,1,1
35,24078,786,45078,0,0
21,98389,510,43585,6,1
45,70519,464,29829,19,1
27,24042,424,48336,10,0
29,69052,636,13070,5,1
44,34389,491,6320,3,1
21,115961,513,28507,18,1
28,88111,627,43921,18,1
44,125058,680,11589,13,1
31,113715,538,32459,2,1
37,70733,831,20589,3,1
28,54754,381,41375,7,0
55,38624,662,48085,17,1
55,105886,804,48200,3,1
53,46681,501,38168,10,0
25,109524,803,31732,15,1
59,101006,336,36511,2,0
48,44704,701,27426,6,1
27,124272,475,35982,1,1
29,114913,844,21746,0,1
28,114108,766,33514,0,1
32,143731,500,8851,5,1
54,27493,839,24796,18,1
53,89639,846,15498,6,1
43,120380,693,37852,4,1
44,74383,341,39592,17,1
57,22994,692,49845,12,0
55,89280,740,20930,0,1
42,67234,805,47881,9,1
47,67291,619,46590,8,0
55,148674,514,26159,16,1
21,112868,370,34536,0,1
55,25594,535,29252,0,0
57,125835,580,29003,6,1
34,27371,461,45186,3,0
23,67315,490,40139,11,1
21,103564,308,44836,15,1
25,147251,359,27205,13,1
46,121448,524,35523,9,1
34,99526,586,49627,13,1
59,132387,468,12464,6,1
47,36626,361,22110,3,0
29,106005,648,12121,1,1
35,126258,741,14840,17,1
35,125573,313,42080,15,1
46,27130,463,45768,8,0
33,26828,719,14461,4,1
52,77514,819,25927,8,1
59,127148,847,29398,7,1
52,132524,327,38086,19,1
24,124635,745,20329,15,1
50,72664,507,20791,19,1
57,131701,769,19372,17,1
43,37883,403,32354,3,0
59,63059,725,49018,15,1
35,104078,400,26537,3,1
49,62932,840,39370,5,1
56,149900,821,30405,2,1
33,81269,405,46815,17,1
52,139850,576,28703,14,1
27,95986,364,20234,7,1
42,105959,487,12532,17,1
48,22035,616,45134,2,0
22,129767,437,40416,5,1
26,60745,642,11903,14,1
48,37241,404,23242,11,0
48,72975,845,18788,4,1
40,43154,679,40249,6,0
50,45625,409,39588,14,0
31,64950,844,34513,6,1
48,118602,653,48039,12,1
45,76396,616,24542,2,1
59,119227,565,37294,12,1
53,138920,364,8684,2,1
21,33331,632,28795,1,0
47,83927,812,8651,3,1
33,106226,432,15431,16,1
23,104719,839,15131,5,1
59,83014,834,29091,10,1
26,59346,795,29845,5,1
28,90411,668,29491,1,1
47,74478,398,9830,16,1
29,32254,616,33640,2,0
57,75734,422,12334,11,1
53,48621,619,14304,13,1
44,136490,794,22032,1,1
35,96441,756,30755,4,1
52,66121,821,5016,9,1
52,147386,819,13308,9,1
44,101418,614,34654,8,1
32,80197,841,44244,12,1
59,104577,778,10942,9,1
