traffic_density,avg_speed,air_quality_index,pm25,pm10,noise_level,temperature,humidity,energy_consumption,water_usage,street_light_usage,parking_occupancy,public_transport_load,cctv_alerts,waste_fill_level,rainfall,wind_speed,co2_level,pedestrian_count,internet_usage
178.19,104.31,134.63,45.06,46.7,30.62,10.77,37.06,371.52,528.54,316.29,141.93,862.86,-0.04,111.06,-42.01,11.31,587.17,-202.94,1326.24
42.59,8.77,79.92,129.13,-58.22,-38.71,17.61,55.91,1237.26,422.23,346.89,-65.73,807.53,-3.71,37.86,10.2,-4.95,102.27,850.33,32.9
98.17,-46.64,-6.26,-65.57,-41.74,90.15,51.62,85.94,1241.21,894.86,287.29,3.37,139.53,9.46,-13.64,87.51,8.45,567.21,1157.52,-316.47
139.22,-27.73,76.64,-57.29,7.4,111.78,48.06,78.25,870.36,893.99,257.32,63.33,342.13,14.8,13.02,42.84,10.54,787.21,621.63,270.8
164.6,32.86,-97.75,38.2,-55.1,61.86,38.22,59.44,1298.85,600.12,308.04,-3.52,100.27,-0.24,-16.78,83.91,13.15,-18.17,960.88,477.05
185.36,4.93,77.9,13.64,4.73,115.54,40.63,63.14,951.83,752.19,255.85,82.05,514.41,15.02,60.16,36.2,13.48,424.84,285.59,626.92
-0.91,-20.12,26.82,116.6,-24.19,-18.21,20.58,63.74,1400.11,434.51,373.17,-130.23,545.15,-5.23,37.24,37.54,-7.39,111.57,1188.11,-37.18
-6.78,-21.96,48.67,-31.88,179.08,121.75,34.53,75.69,1198.93,802.62,262.57,-35.72,-348.55,11.16,20.64,64.3,7.31,576.25,572.16,194.13
106.61,72.95,-14.67,-43.17,20.79,26.15,27.51,65.9,774.61,703.53,321.96,42.84,165.68,-2.6,-14.54,38.66,11.08,505.55,643.31,608.87
137.47,7.18,136.59,-48.66,-7.96,54.34,35.31,68.57,586.17,743.26,271.25,119.89,753.04,8.74,37.06,-0.85,8.46,930.07,343.43,371.2
156.37,78.25,112.39,62.63,131.38,85.63,16.84,40.42,837.9,521.12,288.72,89.13,546.9,6.66,113.97,-17.83,12.95,372.88,-224.89,1384.11
197.6,84.72,102.77,78.58,87.84,106.15,24.14,37.92,869.79,516.39,266.41,93.38,448.86,6.28,99.52,3.46,17.76,149.39,-126.75,1372.74
82.0,-9.02,52.73,44.09,109.4,122.15,35.35,68.63,1283.82,685.3,271.17,-16.66,68.48,12.66,65.3,46.69,6.61,299.05,467.05,459.27
191.4,82.64,24.95,60.21,-58.78,3.53,22.55,45.6,789.84,515.92,322.19,71.67,628.65,-3.86,34.25,18.27,10.72,264.55,355.13,1048.68
46.97,155.91,-16.81,-104.21,52.3,-60.29,1.97,57.89,136.57,624.49,372.15,96.93,246.74,-16.22,-18.9,-17.22,7.45,994.07,476.34,712.37
113.12,97.83,-46.88,-77.16,42.49,29.78,23.26,64.17,609.77,752.08,303.33,83.59,25.52,-3.63,-27.9,36.91,15.75,689.17,489.17,729.03
127.54,-16.8,75.86,45.77,-98.77,-5.27,33.59,64.93,1106.99,582.81,307.88,19.37,802.82,1.98,33.74,21.67,-0.31,414.32,858.61,32.04
54.87,0.6,93.13,89.19,-0.28,8.79,22.68,58.09,1190.59,518.6,330.4,-36.99,588.55,5.04,56.01,21.03,-1.29,255.38,745.39,244.59
46.23,65.07,-2.19,7.1,60.0,27.65,18.37,64.41,945.85,563.21,338.37,-16.77,155.38,-5.86,3.59,25.92,4.64,316.54,579.83,513.02
68.25,-14.71,162.58,13.07,46.46,45.35,29.67,68.29,875.71,699.51,289.39,25.11,658.29,10.47,69.99,-9.11,3.39,733.12,363.47,250.49
89.92,-39.14,144.38,-12.06,86.19,117.64,41.07,74.54,1111.96,807.65,270.4,36.5,513.76,16.27,76.31,25.8,4.96,647.25,431.93,176.61
37.51,81.0,2.5,81.16,-4.76,-58.3,6.54,51.11,925.56,362.17,385.12,-51.59,537.02,-12.06,14.54,11.77,-3.13,176.54,754.46,572.63
96.76,67.08,328.64,-25.16,178.64,56.75,7.07,46.74,141.62,715.68,258.39,197.72,947.51,13.25,155.92,-105.97,5.73,1256.3,-671.05,1106.28
123.35,107.34,114.16,20.39,183.53,65.3,6.35,41.8,560.78,551.05,301.58,112.55,271.54,-0.23,106.05,-28.36,11.37,476.69,-283.91,1533.15
224.86,-35.83,46.27,145.76,-114.62,83.26,48.07,54.59,1463.48,526.89,283.77,3.83,992.52,13.36,66.76,56.01,8.14,-197.01,756.56,438.59
228.91,122.41,-46.06,-1.05,77.68,78.95,25.69,40.76,718.27,619.64,289.23,119.16,115.39,-1.82,19.38,42.51,27.1,228.53,63.73,1563.29
40.29,37.57,155.95,-93.96,188.69,79.82,23.56,69.27,547.67,855.45,269.31,98.23,220.88,9.89,56.04,-8.6,9.87,1013.69,119.64,559.17
194.45,147.45,-15.98,-46.96,81.8,63.43,19.29,43.55,487.87,621.33,274.65,143.16,117.97,-4.29,34.46,14.95,21.29,661.54,-25.57,1417.71
-2.44,113.88,-19.43,1.87,155.03,33.64,7.96,54.15,857.21,548.31,362.06,-6.38,-104.08,-9.43,18.2,14.98,4.05,387.72,331.39,760.69
185.78,111.01,72.64,-17.78,184.41,143.59,21.96,44.25,667.79,663.51,257.28,139.59,15.18,8.34,71.07,7.64,22.26,520.95,-379.16,1646.26
95.9,74.18,53.6,36.52,98.18,48.42,15.73,49.35,796.35,590.67,300.44,37.61,231.92,1.04,54.59,11.2,8.0,392.81,157.22,1059.96
-4.7,-31.37,55.91,123.2,-70.97,-28.22,23.98,65.2,1498.73,491.9,363.52,-140.75,669.36,1.7,22.94,43.01,-7.44,40.84,1253.87,-167.25
78.8,-57.73,141.69,136.94,-80.69,8.8,31.01,59.16,1394.86,455.09,330.62,-53.61,942.75,10.35,93.49,8.42,-4.33,151.44,779.11,-53.5
132.68,18.22,45.0,78.2,-154.41,-51.98,26.68,55.04,1003.94,474.67,364.04,-3.71,967.46,-2.66,30.78,18.75,2.56,237.42,927.35,170.18
143.1,10.16,197.88,25.16,101.5,103.91,28.1,57.23,747.86,673.61,255.71,128.35,639.76,18.07,113.51,-16.57,11.22,650.15,-103.62,831.22
208.99,9.28,133.02,266.47,-83.55,25.56,23.12,29.53,1492.32,228.23,336.18,-12.3,1497.77,9.54,147.0,-7.3,-0.77,-453.96,227.86,929.45
159.7,102.78,49.52,-24.95,159.86,98.45,21.69,49.25,580.03,704.37,288.54,140.63,54.86,7.1,61.15,7.55,18.83,562.27,-210.55,1339.01
89.48,51.5,-67.98,-27.89,-13.28,10.86,28.38,69.57,930.58,657.23,308.73,-12.24,106.31,-4.38,-44.47,55.31,8.57,431.96,872.73,296.91
54.34,-23.41,40.94,65.68,-25.6,25.63,32.24,65.88,1344.31,557.99,326.64,-58.75,400.47,1.2,33.74,47.32,-2.26,238.55,978.87,62.01
