Study_Hours,Attendance,Assignments_Completed,Internal_Marks,Result
4.37,69.68,6,25.79,1
9.56,73.67,3,34.34,1
7.59,92.73,1,11.61,1
6.39,67.0,4,40.48,1
2.4,93.48,2,13.98,0
2.4,54.41,8,25.87,0
1.52,88.84,5,14.14,0
8.8,92.38,0,43.48,1
6.41,59.09,2,32.01,1
7.37,71.52,3,37.64,1
1.19,58.27,8,37.3,0
9.73,85.33,5,43.66,1
8.49,76.77,3,15.3,1
2.91,81.77,0,36.39,0
2.64,59.82,7,33.01,0
2.65,60.59,1,11.24,0
3.74,52.07,7,18.06,0
5.72,66.1,5,20.7,1
4.89,77.99,7,12.9,1
3.62,92.9,5,24.19,1
6.51,83.35,4,11.09,1
2.26,71.77,4,32.13,0
3.63,97.66,9,18.46,1
4.3,85.96,9,21.48,1
5.1,96.51,7,46.42,1
8.07,76.38,6,30.11,1
2.8,62.95,7,20.76,0
5.63,52.64,7,33.94,1
6.33,86.3,6,18.07,1
1.42,56.07,1,12.98,0
6.47,65.14,8,10.84,1
2.53,76.62,6,48.06,0
1.59,78.22,5,38.98,0
9.54,80.03,8,42.0,1
9.69,58.31,0,49.24,1
8.28,68.99,1,47.27,1
3.74,80.86,0,39.48,0
1.88,98.49,9,37.76,1
7.16,86.38,2,23.47,1
4.96,96.13,4,14.16,1
2.1,88.11,0,32.95,0
5.46,79.59,3,33.05,1
1.31,59.6,7,48.09,0
9.18,83.33,5,27.7,1
3.33,81.17,0,37.63,0
6.96,80.12,0,33.0,1
3.81,74.49,2,17.07,0
5.68,76.43,9,33.68,1
5.92,66.72,7,31.6,1
2.66,75.97,7,29.76,1
9.73,59.88,2,30.54,1
7.98,90.26,6,16.56,1
9.46,59.29,2,28.54,1
9.05,54.25,3,34.23,1
6.38,71.81,8,29.58,1
9.3,82.92,3,29.55,1
1.8,71.89,2,13.1,0
2.76,63.84,4,17.63,0
1.41,77.91,6,22.84,0
3.93,67.35,4,26.77,0
4.5,96.64,3,33.76,1
3.44,96.13,7,44.53,1
8.46,75.12,3,16.37,1
4.21,66.39,1,10.6,0
3.53,86.86,9,27.97,1
5.88,51.84,5,27.28,1
2.27,73.74,1,32.08,0
8.22,66.82,2,43.33,1
1.67,96.03,0,42.09,0
9.88,50.6,4,14.0,1
7.95,77.64,8,47.36,1
2.79,87.03,1,14.42,0
1.05,74.25,6,35.38,0
8.34,54.27,4,36.9,1
7.36,98.62,1,37.2,1
7.56,75.9,7,20.61,1
7.94,80.71,5,23.21,1
1.67,61.83,3,31.95,0
4.23,74.17,3,17.98,0
2.04,71.46,1,10.81,0
8.77,53.74,2,32.49,1
6.61,55.31,6,28.61,1
3.98,91.87,2,36.27,1
1.57,61.99,4,15.87,0
3.8,59.75,9,43.64,1
3.93,75.25,5,15.85,0
7.57,88.44,5,45.65,1
6.74,53.1,3,27.98,1
8.98,78.84,5,31.99,1
5.25,55.96,2,45.86,0
2.08,51.82,6,22.0,0
7.42,52.64,6,17.27,1
7.85,91.71,3,27.83,1
6.05,55.9,1,19.77,0
7.94,52.26,6,31.11,1
5.44,71.89,2,21.01,0
5.7,92.2,0,44.58,1
4.85,63.12,1,34.29,0
1.23,71.09,9,10.01,0
1.97,52.0,8,42.22,0
1.28,72.45,7,23.21,0
6.73,78.88,5,22.81,1
3.83,78.55,5,25.32,1
5.58,66.62,0,35.21,0
9.17,65.78,1,27.68,1
3.24,55.33,3,35.15,0
4.69,68.34,2,15.87,0
7.8,54.97,0,48.81,1
3.06,88.33,7,39.18,1
1.69,98.31,6,20.01,1
3.61,98.5,3,38.97,1
