TID,Items
1,"Yogurt, Diapers, Eggs, Cheese, Milk, Bread, Beer"
2,"Yogurt, Onions, Cheese, Apples"
3,"Milk, Onions, Butter, Beer, Bread"
4,"Diapers, Cheese, Apples, Milk, Bread"
5,"Bread, Diapers, Beer"
6,"Milk, Beer"
7,"Diapers, Apples, Milk, Bread, Onions, Beer"
8,"Cheese, Eggs, Yogurt, Milk, Diapers"
9,"Diapers, Cheese, Apples, Onions, Beer"
10,"Cheese, Milk, Bread, Onions, Beer"
11,"Diapers, Eggs, Beer, Butter"
12,"Butter, Milk, Eggs, Onions, Beer"
13,"Diapers, Milk, Bread, Onions, Beer"
14,"Onions, Beer, Bread"
15,"Onions, Butter, Bread, Apples, Diapers"
16,"Milk, Bread, Diapers, Eggs"
17,"Yogurt, Butter, Diapers, Bread, Onions, Beer"
18,"Eggs, Butter, Bread, Milk, Beer"
19,"Milk, Bread, Eggs, Beer"
20,"Butter, Onions, Eggs, Apples, Diapers"
21,"Yogurt, Diapers, Apples, Bread, Onions, Beer"
22,"Yogurt, Butter, Milk, Bread, Onions, Beer"
23,"Yogurt, Bread, Beer, Milk, Diapers"
24,"Yogurt, Bread, Beer, Onions"
25,"Diapers, Milk, Bread, Onions, Beer"
26,"Milk, Onions, Apples, Eggs"
27,"Onions, Diapers, Milk, Cheese"
28,"Yogurt, Diapers, Cheese, Milk, Bread"
29,"Butter, Diapers, Eggs, Beer"
30,"Butter, Beer, Eggs, Yogurt, Diapers"
31,"Yogurt, Eggs, Cheese, Milk, Bread, Beer"
32,"Onions, Diapers"
33,"Bread, Diapers, Apples, Beer"
34,"Milk, Bread, Cheese, Beer"
35,"Milk, Diapers, Apples"
36,"Onions, Bread, Yogurt, Apples"
37,"Diapers, Apples, Milk, Bread, Onions, Beer"
38,"Cheese, Yogurt"
39,"Beer, Milk, Cheese"
40,"Butter, Cheese, Apples, Milk, Bread"
41,"Milk, Diapers, Beer"
42,"Beer, Butter"
43,"Milk, Bread, Eggs"
44,"Onions, Yogurt, Beer"
45,"Diapers, Eggs, Cheese, Apples, Bread, Onions, Beer"
46,"Milk, Bread, Onions, Cheese"
47,"Apples, Butter"
48,"Beer, Onions, Apples, Yogurt"
49,"Butter, Diapers, Milk, Bread, Onions, Beer"
50,"Beer, Cheese, Yogurt"
51,"Beer, Apples, Cheese, Milk"
52,"Milk, Bread, Onions, Apples"
53,"Diapers, Apples, Eggs, Beer"
54,"Beer, Diapers"
55,"Yogurt, Diapers, Milk, Bread, Onions"
56,"Diapers, Cheese, Apples, Beer"
57,"Diapers, Yogurt, Beer"
58,"Diapers, Cheese, Apples, Milk, Bread, Onions"
59,"Eggs, Butter, Yogurt"
60,"Apples, Bread"
61,"Diapers, Eggs, Apples, Milk, Bread, Beer"
62,"Bread, Apples, Butter, Onions, Milk"
63,"Onions, Milk, Eggs"
64,"Milk, Bread, Apples"
65,"Yogurt, Diapers, Eggs, Milk, Bread, Beer"
66,"Apples, Diapers"
67,"Milk, Bread, Diapers, Apples"
68,"Diapers, Bread"
69,"Yogurt, Butter, Diapers, Cheese, Milk, Onions, Beer"
70,"Milk, Bread"
71,"Beer, Butter, Apples, Diapers"
72,"Cheese, Bread, Onions, Butter"
73,"Yogurt, Butter, Diapers, Apples, Milk, Bread, Beer"
74,"Bread, Beer, Eggs, Apples"
75,"Cheese, Butter, Milk, Onions"
76,"Butter, Diapers, Eggs, Cheese, Milk, Bread"
77,"Diapers, Cheese, Milk, Bread, Beer"
78,"Cheese, Yogurt, Bread"
79,"Yogurt, Apples, Milk, Bread, Onions"
80,"Diapers, Apples, Bread"
81,"Yogurt, Diapers, Cheese, Milk, Beer"
82,"Butter, Cheese, Apples, Milk, Bread, Onions"
83,"Milk, Onions, Beer, Apples"
84,"Apples, Milk"
85,"Yogurt, Diapers, Cheese, Milk, Bread, Beer"
86,"Bread, Butter, Onions, Diapers, Milk"
87,"Eggs, Diapers"
88,"Diapers, Eggs, Milk, Bread, Beer"
89,"Yogurt, Butter, Diapers, Milk, Beer"
90,"Milk, Eggs, Onions, Yogurt"
91,"Yogurt, Apples, Milk, Bread, Beer"
92,"Onions, Butter, Yogurt"
93,"Milk, Bread, Diapers, Beer"
94,"Butter, Diapers, Eggs, Milk, Bread"
95,"Yogurt, Milk, Bread"
96,"Beer, Diapers"
97,"Yogurt, Diapers, Cheese, Milk, Bread, Beer"
98,"Butter, Diapers, Milk"
99,"Cheese, Bread, Milk, Eggs, Diapers"
100,"Milk, Bread, Yogurt"
